Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
0;0:14;0;2;guest;0;CANASTA;+2;1135px,263px
0;2:9;0;2;home;32;REBOTE;;1135px,263px
0;3:13;2;2;home;32;CANASTA;+2;1135px,263px
1;0:0;2;2;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1135px,263px
2;0:0;2;2;BOTH;ALL;INICIO DE CUARTO;2Q;1135px,263px
2;0:0;4;2;home;33;CANASTA;+2;1177px,397px
2;0:0;4;2;home;33;FALTA;PERSONAL;1177px,397px
2;0:0;4;2;home;33;FALTA;PERSONAL;1174px,418px
3;0:0;4;2;BOTH;ALL;INICIO DE CUARTO;3Q;1174px,418px
